No,Filename,Width,Height,AspectRatio,PixelAspectRatio,RatioSource,UsageCount,DisplayRatioVariants,AssetKind,SvgRenderable,PptxNativeSupported,SizeKB,Category,ImageArea_SxS,TextArea_SxS
111,image_111.png,543,472,1.18,1.15,manifest,1,,bitmap,True,True,216.9,Near square,709x600,431x600
112,image_112.jpeg,615,461,1.33,1.33,manifest,1,,bitmap,True,True,92.1,Standard landscape,800x600,340x600
113,image_113.jpeg,615,820,1.33,0.75,manifest,1,,bitmap,True,True,160.7,Standard landscape,801x600,339x600
114,image_114.jpeg,615,819,1.19,0.75,manifest,1,,bitmap,True,True,99.1,Near square,712x600,428x600
115,image_115.jpeg,615,820,1.18,0.75,manifest,1,,bitmap,True,True,164.3,Near square,708x600,432x600
116,image_116.jpeg,615,757,0.81,0.81,manifest,1,,bitmap,True,True,118.7,Near square,487x600,653x600
117,image_117.jpeg,615,757,0.81,0.81,manifest,1,,bitmap,True,True,143.8,Near square,487x600,653x600
118,image_118.jpeg,615,462,1.33,1.33,manifest,1,,bitmap,True,True,54.5,Standard landscape,799x600,341x600
119,image_119.jpeg,615,461,1.33,1.33,manifest,1,,bitmap,True,True,66.0,Standard landscape,800x600,340x600
120,image_120.jpeg,796,597,1.27,1.33,manifest,1,,bitmap,True,True,89.3,Standard landscape,762x600,378x600
121,image_121.jpeg,676,484,1.27,1.40,manifest,1,,bitmap,True,True,105.0,Standard landscape,762x600,378x600
122,image_122.jpeg,973,513,2.00,1.90,manifest,1,,bitmap,True,True,108.8,Wide landscape,812x406,328x600
123,image_123.jpeg,903,519,2.00,1.74,manifest,1,,bitmap,True,True,106.0,Wide landscape,812x406,328x600
124,image_124.jpeg,520,386,2.00,1.35,manifest,1,,bitmap,True,True,51.4,Wide landscape,812x406,328x600
125,image_125.jpeg,608,452,2.00,1.35,manifest,1,,bitmap,True,True,76.4,Wide landscape,812x406,328x600
126,image_126.jpeg,602,428,2.00,1.41,manifest,1,,bitmap,True,True,67.1,Wide landscape,812x406,328x600
127,image_127.jpeg,594,425,2.00,1.40,manifest,1,,bitmap,True,True,67.0,Wide landscape,812x406,328x600
128,image_128.jpeg,632,451,2.00,1.40,manifest,1,,bitmap,True,True,68.0,Wide landscape,812x406,328x600
129,image_129.jpeg,470,704,0.50,0.67,manifest,1,,bitmap,True,True,84.6,Portrait,300x600,840x600
130,image_130.jpeg,1269,868,1.46,1.46,manifest,1,,bitmap,True,True,100.1,Standard landscape,812x556,328x600
131,image_131.jpeg,1269,868,1.46,1.46,manifest,1,,bitmap,True,True,102.6,Standard landscape,812x556,328x600
132,image_132.jpeg,1269,868,1.46,1.46,manifest,1,,bitmap,True,True,101.4,Standard landscape,812x556,328x600
133,image_133.jpeg,1269,868,1.46,1.46,manifest,1,,bitmap,True,True,98.1,Standard landscape,812x556,328x600
134,image_134.jpeg,1269,868,1.46,1.46,manifest,1,,bitmap,True,True,98.6,Standard landscape,812x556,328x600
135,image_135.jpeg,1167,743,1.57,1.57,manifest,1,,bitmap,True,True,72.6,Wide landscape,812x517,328x600
136,image_136.png,1281,1812,1.37,0.71,manifest,1,,bitmap,True,True,435.0,Standard landscape,823x600,317x600
137,image_137.png,1411,997,2.35,1.42,manifest,1,,bitmap,True,True,279.2,Ultra-wide,812x345,328x600
138,image_138.png,1366,965,1.69,1.42,manifest,1,,bitmap,True,True,275.8,Wide landscape,812x481,328x600
139,image_139.png,1416,1001,1.39,1.41,manifest,1,,bitmap,True,True,271.6,Standard landscape,832x600,308x600
140,image_140.png,1370,969,1.59,1.41,manifest,1,,bitmap,True,True,411.4,Wide landscape,812x509,328x600
141,image_141.png,1402,991,1.51,1.41,manifest,1,,bitmap,True,True,360.4,Wide landscape,812x537,328x600
142,image_142.png,1374,971,1.55,1.42,manifest,1,,bitmap,True,True,330.0,Wide landscape,812x522,328x600
143,image_143.jpeg,1268,1141,1.11,1.11,manifest,1,,bitmap,True,True,236.0,Near square,667x600,473x600
144,image_144.jpeg,807,1142,1.55,0.71,manifest,1,,bitmap,True,True,58.8,Wide landscape,812x523,328x600
145,image_145.png,1044,658,1.59,1.59,manifest,1,,bitmap,True,True,106.8,Wide landscape,812x512,328x600
146,image_146.jpeg,606,794,1.40,0.76,manifest,1,,bitmap,True,True,85.5,Standard landscape,840x600,300x600
147,image_147.jpeg,606,674,1.40,0.90,manifest,1,,bitmap,True,True,75.9,Standard landscape,840x600,300x600
148,image_148.jpeg,775,611,1.75,1.27,manifest,1,,bitmap,True,True,115.9,Wide landscape,812x464,328x600
149,image_149.jpeg,908,600,1.75,1.51,manifest,1,,bitmap,True,True,142.2,Wide landscape,812x464,328x600
150,image_150.jpeg,673,952,1.11,0.71,manifest,1,,bitmap,True,True,59.3,Near square,666x600,474x600
151,image_151.jpeg,735,1039,0.44,0.71,manifest,1,,bitmap,True,True,61.7,Portrait,267x600,873x600
152,image_152.jpeg,1343,1034,1.40,1.30,manifest,1,,bitmap,True,True,204.5,Standard landscape,840x600,300x600
153,image_153.jpeg,1632,1224,1.40,1.33,manifest,1,,bitmap,True,True,494.0,Standard landscape,840x600,300x600
154,image_154.jpeg,606,455,1.33,1.33,manifest,1,,bitmap,True,True,78.3,Standard landscape,800x600,340x600
155,image_155.jpeg,606,455,1.33,1.33,manifest,1,,bitmap,True,True,72.7,Standard landscape,800x600,340x600
156,image_156.jpeg,735,1039,0.54,0.71,manifest,1,,bitmap,True,True,73.3,Portrait,325x600,815x600
157,image_157.jpeg,735,1039,0.43,0.71,manifest,1,,bitmap,True,True,56.9,Portrait,257x600,883x600
158,image_158.jpeg,562,795,1.30,0.71,manifest,1,,bitmap,True,True,40.2,Standard landscape,779x600,361x600
159,image_159.jpeg,661,934,0.55,0.71,manifest,1,,bitmap,True,True,47.2,Portrait,328x600,812x600
160,image_160.jpeg,606,592,1.40,1.02,manifest,1,,bitmap,True,True,98.9,Standard landscape,840x600,300x600
161,image_161.jpeg,606,711,1.40,0.85,manifest,1,,bitmap,True,True,121.2,Standard landscape,840x600,300x600
162,image_162.jpeg,790,445,1.36,1.78,manifest,1,,bitmap,True,True,87.2,Standard landscape,818x600,322x600
163,image_163.jpeg,785,442,1.37,1.78,manifest,1,,bitmap,True,True,90.2,Standard landscape,823x600,317x600
164,image_164.jpeg,653,923,0.75,0.71,manifest,1,,bitmap,True,True,57.9,Portrait,452x600,688x600
165,image_165.jpeg,735,1039,0.38,0.71,manifest,1,,bitmap,True,True,57.1,Portrait,228x600,912x600
166,image_166.jpeg,764,1018,1.04,0.75,manifest,1,,bitmap,True,True,254.6,Near square,623x600,517x600
167,image_167.jpeg,787,443,1.37,1.78,manifest,1,,bitmap,True,True,87.4,Standard landscape,822x600,318x600
168,image_168.jpeg,606,443,1.37,1.37,manifest,1,,bitmap,True,True,62.7,Standard landscape,822x600,318x600
169,image_169.jpeg,788,1039,0.50,0.76,manifest,1,,bitmap,True,True,72.1,Portrait,297x600,843x600
170,image_170.jpeg,735,1039,0.61,0.71,manifest,1,,bitmap,True,True,72.6,Portrait,365x600,775x600
171,image_171.jpeg,719,959,1.24,0.75,manifest,1,,bitmap,True,True,161.0,Standard landscape,744x600,396x600
172,image_172.jpeg,709,433,1.40,1.64,manifest,1,,bitmap,True,True,88.9,Standard landscape,840x600,300x600
173,image_173.jpeg,940,433,1.40,2.17,manifest,1,,bitmap,True,True,87.1,Standard landscape,840x600,300x600
174,image_174.jpeg,657,866,0.76,0.76,manifest,1,,bitmap,True,True,61.4,Portrait,455x600,685x600
175,image_175.jpeg,920,1213,0.41,0.76,manifest,1,,bitmap,True,True,67.2,Portrait,249x600,891x600
176,image_176.jpeg,780,1041,0.68,0.75,manifest,1,,bitmap,True,True,234.8,Portrait,407x600,733x600
177,image_177.jpeg,606,816,1.00,0.74,manifest,1,,bitmap,True,True,125.6,Near square,600x600,540x600
178,image_178.jpeg,875,606,1.00,1.44,manifest,1,,bitmap,True,True,118.7,Near square,600x600,540x600
179,image_179.jpeg,628,829,0.76,0.76,manifest,1,,bitmap,True,True,38.5,Portrait,455x600,685x600
180,image_180.jpeg,795,596,1.33,1.33,manifest,1,,bitmap,True,True,133.0,Standard landscape,800x600,340x600
181,image_181.jpeg,733,1719,1.00,0.43,manifest,1,,bitmap,True,True,349.6,Near square,600x600,540x600
182,image_182.jpeg,935,2096,1.00,0.45,manifest,1,,bitmap,True,True,507.6,Near square,600x600,540x600
183,image_183.jpeg,1268,1057,1.20,1.20,manifest,1,,bitmap,True,True,187.4,Standard landscape,720x600,420x600
184,image_184.jpeg,1214,929,1.40,1.31,manifest,1,,bitmap,True,True,75.8,Standard landscape,841x600,299x600
